trial_id,order_id,target,pics,position,focus,prompt,sentence,category,ikemap,ikemas
90,77,猫,cat.jpeg,utt-initial,out-of-focus,猫が西村の方に見えますか？,いいえ、猫が池間の方に見えますよ。,comparison,まゆぬどぅ　西村ん　みーらいゆーな？,あらん。まゆぬどぅ　池間ん　みーらいゆーい。
55,78,魚,fish.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい魚を見ましたよ。,experiment,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーっずーどぅ　みーたいよ。
15,79,綱,tsuna.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは綱を見ましたよ。,experiment,マサイや　なうゆどぅ　みーたいが？,マサイや　ん°なうどぅ　みーたいよ。
27,80,舌,tongue.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは舌を見ましたよ。,experiment,マサイや　なうゆどぅ　みーたいが？,マサイや　ったうどぅ　みーたいよ。
125,81,砂,sand.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,砂が池間の方に見えますよ。,filler,なうぬどぅ　池間ん　みーらいゆ？,んなぐぬどぅ　池間ん　みーらいゆーい。
147,82,しっぽ,tail.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんはしっぽを見ましたよ。,filler,マサイや　なうゆどぅ　みーたいが？,マサイや　じゅーゆどぅ　みーたいよ。
114,83,鼻,nose.jpeg,utt-initial,out-of-focus,鼻が西村の方に見えますか？,いいえ、鼻が池間の方に見えますよ。,filler,はなぬどぅ　西村ん　みーらいゆーな？,あらん。はなぬどぅ　池間ん　みーらいゆーい。
63,84,苗,nae.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは苗を見ましたよ。,comparison,マサイや　なうゆどぅ　みーたいが？,マサイや　ないうどぅ　みーたいよ。
24,85,角,horn.jpeg,utt-initial,out-of-focus,角が西村の方に見えますか？,いいえ、角が池間の方に見えますよ。,experiment,ん°ぬぬどぅ　西村ん　みーらいゆーな？,あらん。ん°ぬぬどぅ　池間ん　みーらいゆーい。
143,86,足,foot.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,足が池間の方に見えますよ。,filler,なうぬどぅ　池間ん　みーらいゆ？,はずぬどぅ　池間ん　みーらいゆーい。
